Unnamed: 0,Model Unique Name,train_eng,answer_eng,GT
LatticeNet 3x,SISR-LatticeNet-3x,I want to enlarge this blurry performance image by 3x to make stage lights and facial expressions clearer. Can you help?,"In this case, I recommend the LatticeNet 3x model. This model specializes in magnifying blurry performance images by three times while still restoring clear details. It can also vividly capture the stage lighting and the facial expressions of the people.",이런 경우에는 LatticeNet 3x 모델을 추천할게. 이 모델은 흐릿한 공연 이미지를 3배로 확대하면서도 디테일을 또렷하게 복원하는 데 특화되어 있어. 무대의 조명 분위기나 사람들의 표정도 생생하게 살릴 수 있을 거야.
LatticeNet 3x,SISR-LatticeNet-3x,Can you enhance this low-res event photo by 3x so the lighting design and faces in the crowd are easier to see?,"In this case, I recommend the LatticeNet 3x model. This model excels at magnifying low-resolution images by three times while naturally preserving lighting effects and human details. It will also make your event photos vivid and vibrant.",이런 경우에는 LatticeNet 3x 모델을 추천할게. 이 모델은 저해상도 이미지도 3배 확대하면서 조명 효과와 인물의 디테일을 자연스럽게 살려주는 데 강점이 있어. 너의 행사 사진도 선명하고 생동감 있게 표현할 수 있을 거야.
LatticeNet 4x,SISR-LatticeNet-4x,"The scenery in this low-res image is unclear, especially the trees and rooftops. Can you upscale it 4x to recover the textures?","In these cases, I recommend the LatticeNet 4x model. This model magnifies details like trees and buildings in landscape photos by four times while still restoring them naturally. This allows you to enjoy even blurry images with greater clarity.",이런 경우에는 LatticeNet 4x 모델을 추천할게. 이 모델은 풍경 사진에서 나무와 건물 같은 디테일을 4배로 확대하면서도 자연스럽게 복원해줘. 그래서 흐릿한 이미지도 더 선명하게 감상할 수 있어.
LatticeNet 4x,SISR-LatticeNet-4x,I want to enhance this landscape image by 4× so the foliage and building edges don’t look so soft. Can you help?,"In this case, I recommend the LatticeNet 4x model. This model can magnify images by 4x while clearly restoring delicate elements like leaf texture and building outlines. It can also enhance landscape photos with clarity and minimal artifacts.",이런 경우에는 LatticeNet 4x 모델을 추천할게. 이 모델은 나뭇잎의 질감이나 건물 외곽선처럼 섬세한 요소를 깨끗하게 복원하면서 4배 확대할 수 있어. 풍경 사진도 인위적이지 않게 선명하게 보정할 수 있을 거야.
LatticeNet 4x,SISR-LatticeNet-4x,This outdoor scene is too pixelated. Can you upscale it 4x and make the trees and houses look sharp again?,"In these cases, I recommend the LatticeNet 4x model. This model smoothly restores pixelated images while preserving details. Even elements like trees and houses remain sharp and undisturbed even when magnified four times.",이런 경우에는 LatticeNet 4x 모델을 추천할게. 이 모델은 픽셀이 깨진 이미지도 부드럽게 복원하면서 디테일을 살려줘. 나무나 집 같은 요소도 4배 확대해도 뭉개지지 않고 또렷하게 표현할 수 있어.
RCAN-3x,SISR-RCAN-3x,The diagrams in my textbook are too tiny to study. Can you upscale them 3x so all the fine parts are visible?,"In these cases, the RCAN 3x model is ideal. This model magnifies low-resolution schematics and illustrations by three times, restoring clear, important details. This makes it easy to view even complex compositions.",이런 경우에는 RCAN 3x 모델이 적합해. 이 모델은 해상도가 낮은 도식이나 일러스트를 3배로 확대하면서 중요한 디테일을 선명하게 복원해줘. 그래서 복잡한 구성도 쉽게 확인할 수 있어.
RCAN-3x,SISR-RCAN-3x,I’m having trouble reading the small illustrations in my science notes. Can you enlarge them three times and enhance the sharpness?,"In these cases, the RCAN 3x model is ideal. This model reconstructs even small, complex images without blurring, even when magnified three times. This allows you to see illustrations in your scientific notes more clearly.",이런 경우에는 RCAN 3x 모델이 적합해. 이 모델은 작고 복잡한 이미지도 3배 확대해도 흐려지지 않게 잘 복원해줘. 그래서 과학 노트 속 일러스트도 더 선명하게 볼 수 있을 거야.
RCAN-3x,SISR-RCAN-3x,The small images in this scientific document are unclear. Can you zoom in 3× and make sure the complex lines and shapes don’t get lost?,"In these cases, the RCAN 3x model is ideal. This model magnifies images with complex lines and shapes by 3x without any loss of detail, allowing you to organize your scientific data much more visually appealing.",이런 경우에는 RCAN 3x 모델이 적합해. 이 모델은 복잡한 선이나 형상이 많은 이미지도 깨짐 없이 3배 확대하면서 디테일을 유지해줘. 너의 과학 자료도 훨씬 보기 좋게 정리할 수 있을 거야.
RCAN-4x,SISR-RCAN-4x,The landscape photo I took years ago is low-res and has visible pixelation. Can you upscale it 4x to improve the details?,"In these cases, I recommend the RCAN 4x model. This model naturally enlarges old, low-quality images by four times, restoring crisp details without any loss of detail. This allows you to bring your landscape photos to life.","이런 경우에는 RCAN 4x 모델을 추천할게. 이 모델은 오래된 저화질 이미지도 4배로 자연스럽게 확대하면서, 깨진 부분 없이 디테일을 또렷하게 복원해줘. 그래서 너의 풍경 사진도 생생하게 되살릴 수 있어."
RCAN-4x,SISR-RCAN-4x,This travel picture is very blocky. I’d like to enhance it 4× so the textures and edges are clearer — can you help?,"In this case, I recommend the RCAN 4x model. This model smoothes out pixelated images while sharpening surface textures and outlines by 4x. Your travel photos will look much better.","이런 경우에는 RCAN 4x 모델을 추천할게. 이 모델은 픽셀이 깨진 듯한 이미지도 부드럽게 보정하면서, 표면 질감이나 윤곽선을 또렷하게 4배 확대해줘. 너의 여행 사진도 훨씬 보기 좋아질 거야."
RCAN-4x,SISR-RCAN-4x,Can you restore a compressed-looking photo from a trip by scaling it 4× and removing the artifacts?,"In these cases, I recommend the RCAN 4x model. This model can magnify images by 4x while still cleanly removing block noise and compression artifacts. This allows you to restore natural, clear images from travel photos.",이런 경우에는 RCAN 4x 모델을 추천할게. 이 모델은 블록 노이즈나 압축 흔적이 남은 이미지도 깔끔하게 정리하면서 4배로 확대할 수 있어. 그래서 여행 사진 속 장면들도 자연스럽고 선명하게 복원할 수 있어.
RCAN-8x,SISR-RCAN-8x,This old class photo is too small to make out everyone’s face. Can you upscale it 8× to enhance the expressions and outfits?,"In this case, I recommend the RCAN-8x model. This model enlarges portraits by 8x while naturally preserving details like facial expressions and clothing. This will help you restore your graduation photos to a clear and pleasing image.",이런 경우에는 RCAN-8x 모델을 추천할게. 이 모델은 인물 사진을 8배로 확대하면서 얼굴 표정이나 의상 같은 디테일을 자연스럽게 살려줘. 그래서 너의 졸업 사진도 또렷하고 보기 좋게 복원할 수 있을 거야.
RCAN-8x,SISR-RCAN-8x,The scanned graduation picture looks pixelated and unclear. Can it be enlarged 8x so each person is more recognizable?,"In this case, I recommend the RCAN-8x model. This model specializes in enlarging pixelated images up to 8x while maintaining detail. This makes it capable of restoring sharp, person-centric images, like graduation photos.",이런 경우에는 RCAN-8x 모델을 추천할게. 이 모델은 픽셀이 깨진 이미지도 디테일을 유지한 채로 8배까지 확대해주는 데 특화되어 있어. 그래서 졸업 사진처럼 인물 중심의 이미지도 선명하게 복원할 수 있어.
RCAN-8x,SISR-RCAN-8x,Can you restore this low-res graduation group photo by zooming in 8x and sharpening the faces and clothes?,"In this case, I recommend the RCAN-8x model. This model can magnify complex images, like group photos, at high magnification while clearly restoring details like faces and clothing. This will make your graduation photos look much better.","이런 경우에는 RCAN-8x 모델을 추천할게. 이 모델은 단체 사진처럼 복잡한 구성이 있는 이미지도 고배율로 확대하면서, 사람들의 얼굴이나 옷 디테일까지 깨끗하게 복원해줘. 그래서 네가 가진 졸업 사진도 훨씬 보기 좋아질 거야."
SwinIR Classical DIV2K 2x,SISR-SwinIR-Classical-DIV2K-48-M-2x,The metro map I photographed for my trip looks blurry. Can you upscale it 2× so the labels and symbols are clearer?,"In this case, I recommend the SwinIR Classical DIV2K 2x model. This model specializes in magnifying blurry map images by 2x while sharpening text and icons. It'll also make organizing subway maps you take while traveling much more visually appealing.",이런 경우에는 SwinIR Classical DIV2K 2x 모델을 추천할게. 이 모델은 흐릿한 지도 이미지를 2배로 확대하면서 텍스트와 아이콘을 또렷하게 살려주는 데 특화되어 있어. 여행 중 찍은 지하철 노선도도 훨씬 보기 좋게 정리할 수 있을 거야.
SwinIR Classical DIV2K 2x,SISR-SwinIR-Classical-DIV2K-48-M-2x,I took a low-res picture of a subway diagram. Can you enlarge it by 2x and improve the visibility of station names and transfer signs?,"In these cases, I recommend the SwinIR Classical DIV2K 2x model. This model restores images with many small text and symbols, such as maps, without blurring even when enlarged to 2x. This makes it possible to clearly view subway maps.",이런 경우에는 SwinIR Classical DIV2K 2x 모델을 추천할게. 이 모델은 지도처럼 작은 글씨와 심볼이 많은 이미지를 2배 확대해도 흐림 없이 복원해줘. 그래서 지하철 노선도도 깔끔하게 볼 수 있어.
SwinIR Classical DIV2K 2x,SISR-SwinIR-Classical-DIV2K-48-M-2x,My subway map photo isn’t clear enough to read. Can you make it twice as big so the text and icons stand out?,"In this case, I recommend the SwinIR Classical DIV2K 2x model. This model excels at enlarging low-resolution photos while sharpening text and icons. So, it can transform your subway photos into visually appealing images without losing any detail.",이런 경우에는 SwinIR Classical DIV2K 2x 모델을 추천할게. 이 모델은 저해상도 사진도 확대하면서 글자와 아이콘을 또렷하게 표현하는 데 강점이 있어. 그래서 네가 찍은 지하철 사진도 정보 손실 없이 보기 좋게 바꿔줄 수 있어.
SwinIR Classical DIV2K 3x,SISR-SwinIR-Classical-DIV2K-48-M-3x,"The event map I received is blurry, and I can’t read the zone numbers. Can you upscale it 3× to make the layout clearer?","In these cases, I recommend the SwinIR Classical DIV2K 3x model. This model restores images with small text or borders, such as maps, without blurring even when enlarged three times. This makes festival maps much more visually appealing.",이런 경우에는 SwinIR Classical DIV2K 3x 모델을 추천할게. 이 모델은 지도처럼 작은 글자나 경계선이 많은 이미지를 3배 확대해도 흐려지지 않게 복원해줘. 그래서 축제 지도도 훨씬 보기 좋게 정리할 수 있어.
SwinIR Classical DIV2K 3x,SISR-SwinIR-Classical-DIV2K-48-M-3x,I need to enlarge a low-res festival layout to read the zone divisions and numbers. Can you help scale it by 3x?,"In this case, I recommend the SwinIR Classical DIV2K 3x model. This model preserves the structure of low-resolution images while still maintaining clear text and area boundaries. This will help you accurately grasp the festival layout.",이런 경우에는 SwinIR Classical DIV2K 3x 모델을 추천할게. 이 모델은 저해상도 이미지의 구조를 흐트러뜨리지 않으면서도 글자와 구역 경계를 또렷하게 살려줘. 그래서 축제 배치도를 정확하게 파악하는 데 도움이 될 거야.
SwinIR Classical DIV2K 3x,SISR-SwinIR-Classical-DIV2K-48-M-3x,Can you clean up this pixelated festival map by enlarging it three times and restoring the zone labels and outlines?,"In these cases, I recommend the SwinIR Classical DIV2K 3x model. This model magnifies pixelated maps by 3x, restoring sharp lines and text. This makes it easier to check area information.",이런 경우에는 SwinIR Classical DIV2K 3x 모델을 추천할게. 이 모델은 픽셀이 깨진 지도도 3배로 확대하면서 선과 글자를 선명하게 복원해줘. 그래서 구역 정보를 더욱 쉽게 확인할 수 있을 거야.
SwinIR Classical DIV2K 4x,SISR-SwinIR-Classical-DIV2K-48-M-4x,The safety sign photo I took from far away is hard to read. Can you upscale it 4× so the warning icons and text are easier to see?,"In this case, I recommend the SwinIR Classical DIV2K 4x model. This model specializes in magnifying distant, blurry sign images by four times, while sharpening text and pictograms. This will make your photos much clearer.",이런 경우에는 SwinIR Classical DIV2K 4x 모델을 추천할게. 이 모델은 멀리서 찍어 흐릿해진 표지판 이미지를 4배 확대하면서 글자와 픽토그램을 또렷하게 살려주는 데 특화되어 있어. 그래서 너의 사진도 훨씬 명확하게 볼 수 있을 거야.
SwinIR Classical DIV2K 4x,SISR-SwinIR-Classical-DIV2K-48-M-4x,I need to zoom in on this construction warning sign so that the labels and symbols stand out. Can you enhance it by 4x?,"In these cases, I recommend the SwinIR Classical DIV2K 4x model. This model magnifies images containing small text and icons by four times while still restoring clarity without loss of detail. This makes the text and images on safety signs even more legible.",이런 경우에는 SwinIR Classical DIV2K 4x 모델을 추천할게. 이 모델은 작은 텍스트와 아이콘이 포함된 이미지를 4배 확대하면서도 정보 손실 없이 선명하게 복원해줘. 그래서 안전 표지판의 문구와 그림도 더 잘 보이게 만들어줄 수 있어.
SwinIR Classical DIV2K 4x,SISR-SwinIR-Classical-DIV2K-48-M-4x,This low-res image of a hazard sign is blurry and pixelated. Can you clean it up and scale it 4× for better readability?,"In this case, I recommend the SwinIR Classical DIV2K 4x model. This model excels at smoothly restoring pixelated images while clearly displaying the text and symbols on warning signs. This makes your photos much more readable.","이런 경우에는 SwinIR Classical DIV2K 4x 모델을 추천할게. 이 모델은 픽셀이 깨진 이미지도 부드럽게 복원하면서, 경고 표지판의 글자나 심벌을 또렷하게 표현해주는 데 강점이 있어. 그래서 너의 사진도 훨씬 가독성 좋게 바꿀 수 있어."
SwinIR Classical DIV2K 8x,SISR-SwinIR-Classical-DIV2K-48-M-8x,This mountaintop photo of a valley has a tiny cabin in the distance. Can you enlarge it 8× so the structure and trees look clearer?,"In this case, I recommend the SwinIR Classical DIV2K 8x model. This model excels at naturally reproducing details while magnifying distant, small objects by 8x. This allows you to clearly see the cabin in the valley and the surrounding trees.",이런 경우에는 SwinIR Classical DIV2K 8x 모델을 추천할게. 이 모델은 멀리 있는 작은 객체도 8배로 확대하면서 자연스럽게 디테일을 살려주는 데 특화되어 있어. 그래서 계곡 속 오두막과 주변 나무들을 더 뚜렷하게 확인할 수 있어.
SwinIR Classical DIV2K 8x,SISR-SwinIR-Classical-DIV2K-48-M-8x,I took a high-angle photo showing a small house in the forest. Can it be zoomed 8x to enhance the building’s shape and the nearby scenery?,"In these cases, I recommend the SwinIR Classical DIV2K 8x model. This model can restore small buildings and background elements in landscape images by 8x without any artifacts. This allows you to clearly express the cabin and surrounding landscape in your photo.",이런 경우에는 SwinIR Classical DIV2K 8x 모델을 추천할게. 이 모델은 풍경 이미지에서도 작은 건물이나 배경 요소들을 8배 확대하면서 깨짐 없이 복원해줘. 그래서 너의 사진 속 오두막과 주변 풍경도 선명하게 표현할 수 있어.
SwinIR Classical DIV2K 8x,SISR-SwinIR-Classical-DIV2K-48-M-8x,The house in this valley photo is tiny and unclear. Could you upscale the image 8x to improve the visibility of trees and the structure?,"In this case, I recommend the SwinIR Classical DIV2K 8x model. This model excels at restoring fine details from low-resolution images by magnifying them eight times. This allows you to see even distant houses and trees more clearly.",이런 경우에는 SwinIR Classical DIV2K 8x 모델을 추천할게. 이 모델은 저해상도 이미지에서 세밀한 디테일까지도 8배 확대해 복원해주는 데 강점이 있어. 그래서 멀리 있는 집이나 나무도 더 명확하게 볼 수 있을 거야.
SwinIR Real DFOWMFC 4x,SISR-SwinIR-Real-DFOWMFC-64-L-4x,"This old market photo is full of details but looks blurry. Can you upscale it 4× to restore the people, booths, and signboards?","In these cases, I recommend the SwinIR Real DFOWMFC 4x model. This model excels at magnifying low-resolution images of complex scenes by four times while clearly highlighting key objects. It can even restore people and signs in market photos with much greater clarity.",이런 경우에는 SwinIR Real DFOWMFC 4x 모델을 추천할게. 이 모델은 복잡한 장면이 담긴 저해상도 이미지도 4배 확대하면서 주요 객체를 또렷하게 살려주는 데 강점이 있어. 시장 사진 속 인물이나 간판도 훨씬 선명하게 복원할 수 있어.
SwinIR Real DFOWMFC 4x,SISR-SwinIR-Real-DFOWMFC-64-L-4x,I want to enhance a crowded street photo from an archive. Can it be zoomed 4× so that the crowd and storefronts look crisp?,"In this case, I recommend the SwinIR Real DFOWMFC 4x model. This model naturally restores blurred details in old photos while magnifying them four times. This allows you to capture the people and shops on the market street with greater clarity.",이런 경우에는 SwinIR Real DFOWMFC 4x 모델을 추천할게. 이 모델은 오래된 사진의 흐릿한 디테일을 자연스럽게 복원하면서도 4배 확대해줘. 덕분에 시장 거리의 사람들과 가게 모습이 더 또렷하게 표현될 수 있어.
SwinIR Real DFOWMFC 4x,SISR-SwinIR-Real-DFOWMFC-64-L-4x,The image of this marketplace is pixelated and complex. Can you clean it up and enlarge it 4× to reveal more clarity?,"In this case, I recommend the SwinIR Real DFOWMFC 4x model. This model smoothly restores even complex, pixelated images while preserving the details of people and structures. This makes even old market photos look even clearer.","이런 경우에는 SwinIR Real DFOWMFC 4x 모델을 추천할게. 이 모델은 픽셀이 깨진 복잡한 이미지도 부드럽게 복원해주면서, 사람들과 구조물의 디테일을 잘 살려줘. 그래서 오래된 시장 사진도 더욱 선명하게 볼 수 있어."
SD v1.5 - AbsoluteReality,Txt2Img-StableDiffusionV1-AbsoluteReality,I’d like to generate a realistic night-time city street image with believable lighting and lifelike people. Can this model do that?,"In this case, I recommend the SD v1.5 - AbsoluteReality model. This model excels at realistically recreating the nighttime cityscape, blending people and lighting naturally. This allows it to create realistic nighttime images.","이런 경우에는 SD v1.5 - AbsoluteReality 모델을 추천할게. 이 모델은 밤의 도시 분위기를 사실적으로 재현하는 데 뛰어나고, 인물과 조명도 자연스럽게 어우러지게 만들어줘. 그래서 진짜처럼 보이는 야경 이미지를 생성할 수 있어."
SD v1.5 - AbsoluteReality,Txt2Img-StableDiffusionV1-AbsoluteReality,"Can you synthesize a photo-realistic city street at night, with soft lighting and people that don’t look artificial?","In these cases, I recommend the SD v1.5 - AbsoluteReality model. This model applies soft, realistic lighting effects without an artificial feel, and even renders people naturally. This allows you to create night scenes that look like real photos.","이런 경우에는 SD v1.5 - AbsoluteReality 모델을 추천할게. 이 모델은 인공적인 느낌 없이 부드럽고 사실적인 조명 효과를 적용해주고, 사람도 자연스럽게 표현해줘. 그래서 실제 사진 같은 야경 장면을 만들 수 있어."
SD v1.5 - AbsoluteReality,Txt2Img-StableDiffusionV1-AbsoluteReality,Please generate a nighttime urban street scene with realistic people and lighting that resembles a photograph.,"In this case, I recommend the SD v1.5 - AbsoluteReality model. This model specializes in compositing city night scenes to resemble real photos, while naturally blending people and background lighting. It's perfect for creating realistic night scenes.","이런 경우에는 SD v1.5 - AbsoluteReality 모델을 추천할게. 이 모델은 도시 야경을 실제 사진처럼 합성하면서, 인물과 배경 조명을 자연스럽게 조화시키는 데 특화되어 있어. 그래서 리얼한 분위기의 밤 장면을 만들기에 딱이야."
SD v1.5 - ToonYou,Txt2Img-StableDiffusionV1-ToonYou,"Can you create a comic-style scene of a superhero flying through the city skyline, with bold outlines and dramatic colors?","In this case, the SD v1.5 ToonYou model is a perfect fit. This model captures the unique cartoon style, with bold outlines and vibrant colors. This makes it ideal for dynamic scenes of heroes flying through the city.",이런 경우에는 SD v1.5 ToonYou 모델이 잘 맞아. 이 모델은 굵은 외곽선과 강렬한 색감 같은 만화 특유의 스타일을 잘 표현해줘. 그래서 도시를 날아다니는 히어로 장면도 다이내믹하게 연출할 수 있어.
SD v1.5 - ToonYou,Txt2Img-StableDiffusionV1-ToonYou,"I’d like to generate a cartoon panel of a superhero mid-flight above urban buildings, using a stylized and animated aesthetic.","In this case, the SD v1.5 ToonYou model is a perfect fit. This model can implement a style optimized for animation sensibilities, making scenes of superheroes flying through the city as vivid as a cartoon.","이런 경우에는 SD v1.5 ToonYou 모델이 잘 맞아. 이 모델은 애니메이션 감성에 최적화된 스타일을 구현할 수 있어서, 슈퍼히어로가 도시를 나는 장면도 만화처럼 생생하게 만들어줄 수 있어."
SD v1.5 - ToonYou,Txt2Img-StableDiffusionV1-ToonYou,"Create an energetic comic-style image of a flying hero over city rooftops, with expressive lighting and action lines.","In this case, the SD v1.5 ToonYou model is a perfect fit. This model specializes in expressing dynamic direction and cartoonish effects, making it possible to create stunning animation-like scenes, even for hero movements and city backgrounds.","이런 경우에는 SD v1.5 ToonYou 모델이 잘 맞아. 이 모델은 역동적인 연출과 만화스러운 효과 표현에 특화돼 있어서, 히어로의 움직임이나 도시 배경도 애니메이션 장면처럼 멋지게 연출할 수 있어."
SD v1.5 - CCCDA ArtStyle,Txt2Img-StableDiffusionV1-CCDDA_ArtStyle,I’d like to generate a vintage-style letter with elegant cursive on aged parchment. Can you help with that?,"In this case, I recommend the SD v1.5 - CCCDA ArtStyle model. This model excels at naturally synthesizing the texture of old paper with the feel of classic handwriting, allowing you to artistically reinterpret your letter.","이런 경우에는 SD v1.5 - CCCDA ArtStyle 모델을 추천할게. 이 모델은 오래된 종이 질감과 고전적인 손글씨 느낌을 자연스럽게 합성하는 데 뛰어나서, 너의 편지를 예술적으로 재해석해줄 수 있어."
SD v1.5 - CCCDA ArtStyle,Txt2Img-StableDiffusionV1-CCDDA_ArtStyle,Can you transform a handwritten note into something that looks like antique calligraphy on textured paper?,"In this case, I recommend the SD v1.5 - CCCDA ArtStyle model. This model specializes in expressing classic fonts and paper textures, allowing you to stylishly recreate handwriting that resembles an old document.","이런 경우에는 SD v1.5 - CCCDA ArtStyle 모델을 추천할게. 이 모델은 고전적인 서체와 종이 질감을 함께 표현하는 데 특화되어 있어서, 손글씨를 옛날 문서처럼 스타일리시하게 재구성해줄 수 있어."
SD v1.5 - CCCDA ArtStyle,Txt2Img-StableDiffusionV1-CCDDA_ArtStyle,Please create an artistic version of this letter using an old paper look and historical handwriting style.,"In this case, I recommend the SD v1.5 - CCCDA ArtStyle model. This model excels at simultaneously reproducing artistic handwriting and the atmosphere of an old document. It can transform your letter into an image with a historical feel.",이런 경우에는 SD v1.5 - CCCDA ArtStyle 모델을 추천할게. 이 모델은 예술적인 필기체와 오래된 문서 분위기를 동시에 재현해주는 데 강점이 있어. 그래서 너의 편지를 역사적인 느낌이 살아 있는 이미지로 바꿔줄 수 있어.
SD v1.5 - colorful,Txt2Img-StableDiffusionV1-colorful,"Can you generate an image of a bright bouquet with bold, saturated colors and strong contrast between the flowers?","In this case, I recommend the SD v1.5 - Colorful model. This model adjusts saturation and contrast to bring out each flower's individual colors vividly, making the entire scene vibrant and vibrant.","이런 경우에는 SD v1.5 - colorful 모델을 추천할게. 이 모델은 꽃의 색상 하나하나가 선명하게 살아나도록 채도와 대비를 조정해서, 장면 전체를 생기 있고 화려하게 연출해줄 수 있어."
SD v1.5 - colorful,Txt2Img-StableDiffusionV1-colorful,I’d like to create a bouquet illustration where the flowers burst with vivid tones and eye-catching color separation.,"In this case, I recommend the SD v1.5 - Colorful model. This model naturally brings out saturated colors and sharp edges, allowing each flower to stand out more vividly.","이런 경우에는 SD v1.5 - colorful 모델을 추천할게. 이 모델은 채도가 높은 컬러와 선명한 경계를 자연스럽게 살려줘서, 각 꽃이 더욱 돋보이도록 생동감 있게 표현할 수 있어."
SD v1.5 - colorful,Txt2Img-StableDiffusionV1-colorful,"Please make a colorful flower arrangement image filled with rich hues, crisp outlines, and high visual energy.","In this case, I recommend the SD v1.5 - Colorful model. This model specializes in expressing vibrant colors that add vitality and energy to images, allowing you to create colorful and energetic flower bouquet scenes.","이런 경우에는 SD v1.5 - colorful 모델을 추천할게. 이 모델은 이미지에 생기와 활기를 더해주는 강렬한 색감 표현에 특화되어 있어서, 다채롭고 에너지 넘치는 꽃다발 장면을 연출할 수 있어."
SD v1.5 - DreamShaper,Txt2Img-StableDiffusionV1-DreamShaper,Please turn this nighttime city view into a dreamy fantasy painting with soft glow and mystical fog.,"In this case, I recommend the SD v1.5 - DreamShaper model. This model adds soft light and dreamy fog to realistic cityscapes, naturally creating a fantasy-illustrated atmosphere.","이런 경우에는 SD v1.5 - DreamShaper 모델을 추천할게. 이 모델은 현실적인 도시 풍경에 부드러운 빛과 몽환적인 안개를 더해서, 판타지 일러스트 같은 분위기를 자연스럽게 연출해줄 수 있어."
SD v1.5 - DreamShaper,Txt2Img-StableDiffusionV1-DreamShaper,I want a magical version of a night cityscape with fantasy lighting and fog overlays. Can you help create that?,"In this case, I recommend the SD v1.5 - DreamShaper model. This model excels at creating a fantastical atmosphere by adding magical lighting and fog effects to city night scenes. It can also be used to express urban scenes in a sentimental, fantasy-like style.",이런 경우에는 SD v1.5 - DreamShaper 모델을 추천할게. 이 모델은 도시 야경에 마법 같은 조명과 안개 효과를 더해 환상적인 분위기를 만들어내는 데 탁월해. 그래서 도시 장면도 감성적인 판타지 스타일로 표현할 수 있어.
SD v1.5 - DreamShaper,Txt2Img-StableDiffusionV1-DreamShaper,Turn this modern night scene into a fantasy world with dreamy lighting and cinematic fog.,"In this case, I recommend the SD v1.5 - DreamShaper model. This model specializes in naturally blending fantasy elements with realistic images, so even a nighttime city scene can be transformed into emotional fantasy art.","이런 경우에는 SD v1.5 - DreamShaper 모델을 추천할게. 이 모델은 현실적인 이미지에 판타지 요소를 자연스럽게 녹여내는 데 특화돼 있어서, 도시의 밤 풍경도 감성적인 판타지 아트로 바꿔줄 수 있어."
SD v1.5 - GhostMix,Txt2Img-StableDiffusionV1-GhostMix,"Create a ghostly visual of a lone figure drifting through dense fog, surrounded by an otherworldly glow.","In this case, I recommend the SD v1.5 - GhostMix model. This model specializes in creating dreamlike, blurred boundaries between characters and backgrounds, making it ideal for creating mysterious, ghostly scenes.","이런 경우에는 SD v1.5 - GhostMix 모델을 추천할게. 이 모델은 인물과 배경을 흐릿한 경계 속에서 몽환적으로 표현해주는 데 특화되어 있어서, 유령처럼 떠도는 장면도 신비롭게 연출할 수 있어."
SD v1.5 - GhostMix,Txt2Img-StableDiffusionV1-GhostMix,"I’d like to depict a spectral entity moving through haze, with a dreamlike and spiritual mood.","In this case, I recommend the SD v1.5 - GhostMix model. This model excels at expressing an atmosphere that transcends reality and fantasy, allowing you to express even images of ghosts walking through fog with a sentimental and spiritual feel.","이런 경우에는 SD v1.5 - GhostMix 모델을 추천할게. 이 모델은 현실과 환상을 넘나드는 분위기를 표현하는 데 탁월해서, 안개 속을 걷는 유령 이미지도 감성적이고 영적인 느낌으로 표현할 수 있어."
SD v1.5 - GhostMix,Txt2Img-StableDiffusionV1-GhostMix,"Can you generate an abstract, foggy scene featuring a faint ghost walking in the mist with soft ambient lighting?","In this case, I recommend the SD v1.5 - GhostMix model. This model excels at naturally portraying a hazy, dreamy atmosphere with soft lighting. It's perfect for lyrical scenes of ghosts walking through fog.",이런 경우에는 SD v1.5 - GhostMix 모델을 추천할게. 이 모델은 흐릿하고 몽환적인 분위기를 부드러운 조명과 함께 자연스럽게 그려내는 데 강점이 있어. 그래서 유령이 안개 속을 걷는 장면도 서정적으로 표현할 수 있어.
SD v1.5 - henmixReal,Txt2Img-StableDiffusionV1-henmixReal,I’d like to generate high-fidelity portraits that resemble luxury magazine fashion shoots — can you handle detailed textures and studio lighting?,"In this case, I recommend the SD v1.5 - henmixReal model. This model expresses precise details worthy of a high-end fashion pictorial, allowing for realistic reproduction of the character's skin, clothing, and even lighting.","이런 경우에는 SD v1.5 - henmixReal 모델을 추천할게. 이 모델은 고급 패션 화보에 어울릴 정도로 정밀한 디테일을 표현해줘서, 인물의 피부나 의상, 조명 연출까지 사실감 있게 재현할 수 있어."
SD v1.5 - henmixReal,Txt2Img-StableDiffusionV1-henmixReal,Create a photorealistic full-body fashion shot with flawless skin rendering and crisp fabric textures under balanced lighting.,"In this case, I recommend the SD v1.5 - henmixReal model. This model excels at delicately depicting the skin and texture of clothing, and even adjusts lighting naturally to create high-resolution, pictorial-like results.","이런 경우에는 SD v1.5 - henmixReal 모델을 추천할게. 이 모델은 인물의 피부 표현이나 옷의 질감을 섬세하게 묘사하는 데 뛰어나고, 조명까지 자연스럽게 조절해서 고해상도 화보 같은 결과물을 만들어줄 수 있어."
SD v1.5 - henmixReal,Txt2Img-StableDiffusionV1-henmixReal,Can you make a lifelike fashion model image where every detail—from pores to stitching—is visible?,"In this case, I recommend the SD v1.5 - henmixReal model. This model can realistically express even the smallest details of a person, making it ideal for creating detailed, high-quality full-body portraits of fashion models.","이런 경우에는 SD v1.5 - henmixReal 모델을 추천할게. 이 모델은 인물의 아주 작은 디테일까지 현실적으로 표현할 수 있어서, 패션 모델의 전신 사진을 세밀하고 고급스럽게 그려내는 데 적합해."
